Время (с),A0 (В)
4.091269016265869,2.275
4.0987794399261475,1.882
4.111801862716675,1.627
4.119848728179932,1.569
4.131865739822388,2.000
4.139806509017944,1.961
4.148834705352783,2.157
4.160705804824829,2.039
4.169116973876953,1.882
4.180694103240967,1.333
4.189709901809692,1.569
4.201223373413086,1.451
4.210190057754517,1.667
4.221698760986328,1.725
4.229775905609131,1.843
4.2382824420928955,1.863
4.2507970333099365,2.137
4.259304523468018,2.196
4.270822525024414,2.608
4.279336929321289,2.765
4.291912794113159,3.275
4.3000195026397705,3.000
4.31175684928894,2.588
4.320752382278442,2.196
4.327752351760864,2.196
4.341068267822266,2.078
4.34808349609375,2.294
4.361745357513428,2.431
4.3691534996032715,2.549
4.381670951843262,2.824
4.39051365852356,3.627
4.402543306350708,3.941
4.4105353355407715,4.020
4.423046112060547,3.667
4.431467533111572,3.765
4.443114280700684,3.725
4.451138019561768,3.765
4.459522724151611,3.804
4.472038745880127,3.961
4.4805567264556885,3.588
4.492239952087402,3.412
4.500812768936157,3.275
4.513333082199097,3.275
4.520840644836426,2.902
4.52970552444458,2.804
4.541882753372192,2.529
4.549508571624756,2.451
4.561779737472534,2.157
4.570288896560669,2.294
4.582321405410767,2.333
4.591251611709595,2.235
4.603276252746582,2.137
4.611306667327881,2.255
4.623351573944092,2.333
4.631864547729492,2.431
4.644374132156372,2.373
4.651889801025391,2.412
4.660144805908203,2.392
4.672835111618042,2.510
4.681267499923706,2.353
4.693419933319092,2.529
4.700959920883179,2.490
4.7140538692474365,2.196
4.7219078540802,1.980
4.73395848274231,2.118
4.742466449737549,2.137
4.751020669937134,2.255
4.763145446777344,2.294
4.770661115646362,2.294
4.783708333969116,2.039
4.791706562042236,2.039
4.803753137588501,2.196
4.811640977859497,2.176
4.824689149856567,1.843
4.8321692943573,1.490
4.840683460235596,1.314
4.853257894515991,1.608
4.861263275146484,2.098
4.873069524765015,2.529
4.881787300109863,2.882
4.8939924240112305,3.157
4.902483224868774,3.235
4.914048910140991,3.255
4.922502279281616,3.176
4.934507608413696,2.980
4.943520545959473,3.039
4.95523738861084,2.686
4.963751316070557,2.471
4.972026109695435,2.353
4.9841625690460205,2.392
4.992470979690552,2.471
5.004490613937378,2.686
5.013264894485474,2.941
5.024578332901001,3.078
5.033146142959595,2.882
5.04110312461853,2.902
5.053820610046387,2.804
5.062273025512695,2.843
5.074260711669922,2.745
5.082187652587891,2.804
5.094311952590942,2.608
5.102921485900879,2.686
5.115185499191284,2.569
5.123695373535156,2.588
5.1357316970825195,2.392
5.1437554359436035,2.353
5.155370473861694,2.490
5.1648945808410645,2.843
5.172359466552734,2.804
5.184326648712158,2.902
5.192946672439575,2.804
5.205013036727905,2.843
5.213024854660034,2.569
5.225724220275879,2.588
5.234370708465576,2.490
5.245392799377441,2.804
5.253931999206543,2.706
5.2621519565582275,2.686
5.2751641273498535,2.706
5.282837152481079,3.137
5.294878244400024,3.255
5.303866863250732,3.431
5.316221237182617,3.216
5.323730230331421,2.961
5.3367555141448975,2.549
5.344882965087891,2.412
5.352181434631348,2.588
5.364688873291016,3.314
