Время (с),A0 (В)
2.059257745742798,2.510
2.0714147090911865,2.451
2.0794663429260254,2.373
2.0914652347564697,2.078
2.099581241607666,2.137
2.1076366901397705,2.196
2.120640277862549,2.353
2.128753185272217,2.196
2.1407573223114014,2.196
2.1487536430358887,2.510
2.1608691215515137,2.804
2.16991925239563,2.745
2.1779181957244873,2.784
2.1899189949035645,2.529
2.1979756355285645,2.765
2.2100181579589844,2.765
2.2190206050872803,2.627
2.2306222915649414,2.667
2.2386670112609863,3.353
2.2516658306121826,3.157
2.259753942489624,2.765
2.2677969932556152,2.373
2.279797315597534,2.412
2.2887966632843018,2.216
2.3009378910064697,2.255
2.309058666229248,2.235
2.3210654258728027,2.647
2.3296287059783936,2.725
2.341627597808838,2.745
2.349712371826172,2.725
2.3618009090423584,2.647
2.3698015213012695,2.353
2.382805347442627,2.275
2.3908703327178955,2.137
2.4034299850463867,2.392
2.4114832878112793,2.333
2.4236748218536377,2.412
2.4311838150024414,2.451
2.4403066635131836,2.373
2.4523634910583496,2.255
2.4603636264801025,2.392
2.4724979400634766,2.392
2.4805452823638916,2.529
2.493563413619995,2.490
2.5016095638275146,2.667
2.513674736022949,2.471
2.521667003631592,2.471
2.5340096950531006,2.118
2.5420024394989014,2.020
2.554157018661499,2.078
2.5632243156433105,1.961
2.571223735809326,1.941
2.583224058151245,2.471
2.5912227630615234,2.549
2.6032748222351074,2.471
2.612276554107666,2.255
2.6243250370025635,2.235
2.63283634185791,2.333
2.644836187362671,2.529
2.652837038040161,2.549
2.660888433456421,2.804
2.672929286956787,2.627
2.6819300651550293,2.863
2.693930149078369,2.843
2.7020301818847656,2.608
2.71403431892395,2.392
2.7220332622528076,2.549
2.7351393699645996,2.373
2.743204355239868,2.471
2.7512052059173584,2.412
2.7632055282592773,2.451
2.7712583541870117,2.373
2.784426689147949,2.706
2.792010545730591,2.412
2.804006576538086,2.353
2.813075542449951,2.373
2.8210737705230713,2.549
2.8326380252838135,2.451
2.841639280319214,2.412
2.8536901473999023,2.275
2.8617279529571533,2.529
2.8737294673919678,2.431
2.882735013961792,2.412
2.894824981689453,2.569
2.902865409851074,2.863
2.914870023727417,2.627
2.92287015914917,2.569
2.9353842735290527,2.412
2.9434709548950195,2.431
2.951470375061035,1.980
2.9644718170166016,2.078
2.9724714756011963,2.353
2.98452091217041,2.529
2.9925215244293213,2.333
3.005520820617676,2.471
3.0136477947235107,2.471
3.0256857872009277,2.725
3.034193992614746,2.588
3.0461926460266113,2.490
3.0542447566986084,2.255
3.0662922859191895,2.235
3.074291706085205,2.118
3.08329176902771,2.294
3.0952908992767334,2.294
3.103297233581543,2.549
3.1154589653015137,2.471
3.1235013008117676,2.569
3.136586904525757,2.471
3.1447174549102783,2.510
3.156404495239258,2.451
3.1649856567382812,2.431
3.172987222671509,2.333
3.1849873065948486,2.510
3.194087505340576,2.431
3.2061386108398438,2.490
3.214141607284546,2.510
3.226142406463623,2.255
3.2346551418304443,1.882
3.2466557025909424,2.314
3.254754066467285,2.333
3.2627944946289062,2.588
3.2757985591888428,2.804
3.2837982177734375,2.667
3.29579758644104,2.333
3.3038060665130615,2.373
3.3164114952087402,2.275
3.3245949745178223,2.529
3.3326773643493652,2.608
3.344679117202759,2.667
3.35367751121521,2.510
3.365800619125366,2.275
3.373802423477173,2.020
3.385802984237671,2.196
3.3948018550872803,2.333
3.406893730163574,2.412
3.4144043922424316,2.431
3.427459478378296,2.529
3.435033082962036,2.294
3.448032855987549,2.275
3.456087589263916,2.569
3.46408748626709,2.608
3.4760868549346924,2.392
3.484086751937866,2.392
3.497161388397217,2.275
3.5051629543304443,2.451
3.5171682834625244,2.529
3.5252344608306885,2.549
3.537806987762451,2.471
3.5458829402923584,2.510
3.557889938354492,2.725
3.565889835357666,2.686
3.579052209854126,2.627
3.5871245861053467,2.412
3.595118522644043,2.314
3.6071197986602783,2.412
3.6151270866394043,2.392
3.6276872158050537,2.294
3.6357455253601074,2.333
3.648745536804199,2.314
3.656747579574585,2.373
3.6688995361328125,2.412
3.6769847869873047,2.569
3.684983253479004,2.608
3.696983814239502,2.588
3.7059834003448486,2.431
3.7179877758026123,2.549
3.7260444164276123,2.608
3.738560438156128,2.686
3.746558666229248,2.706
3.758669376373291,2.706
3.76674485206604,2.431
3.7757439613342285,2.431
3.7877445220947266,2.627
3.795795202255249,2.588
3.8079285621643066,2.588
3.8159310817718506,2.294
3.8284482955932617,1.706
3.836442232131958,1.588
3.844500780105591,1.804
3.857553243637085,2.451
3.865553617477417,2.804
3.8775582313537598,3.176
3.8894505500793457,3.078
3.8980679512023926,2.627
3.910895347595215,2.275
3.918931484222412,2.373
3.9313673973083496,2.373
3.9393770694732666,2.471
3.9473719596862793,2.529
3.9593722820281982,2.706
3.9673733711242676,2.941
3.9804747104644775,2.824
3.9885358810424805,2.098
4.00053596496582,1.725
4.008535861968994,2.000
4.01654052734375,2.275
4.029168367385864,2.647
4.037168979644775,2.961
4.0501697063446045,3.000
4.058168649673462,3.137
4.070168733596802,3.000
4.07822585105896,2.725
4.090306043624878,2.353
4.099306583404541,2.235
4.111309051513672,2.569
4.119413137435913,2.431
4.131921052932739,2.314
4.1399712562561035,2.725
4.148020505905151,2.627
4.160021066665649,2.314
4.1680214405059814,1.922
4.181093692779541,2.118
4.189157724380493,2.353
4.201211452484131,2.706
4.209209680557251,2.608
4.22130823135376,2.725
4.22981858253479,2.431
4.237878322601318,1.765
4.250932455062866,2.196
4.258932590484619,2.588
4.270934104919434,2.765
4.278989553451538,2.667
4.291043996810913,2.353
4.29955267906189,2.471
4.311628103256226,1.961
4.320176601409912,1.784
4.328734874725342,1.824
4.340789794921875,1.882
4.348789691925049,1.863
4.360789775848389,2.529
4.3687920570373535,2.588
4.381863832473755,2.431
4.38996696472168,2.137
4.401966094970703,2.137
4.4100329875946045,2.020
4.422134637832642,1.961
4.430644512176514,2.235
4.442645788192749,2.647
4.450694799423218,2.510
4.459752082824707,2.353
4.471751689910889,2.647
4.4797523021698,2.745
4.491807222366333,2.725
4.499860048294067,2.588
4.512863397598267,2.647
4.520953893661499,3.059
4.528509140014648,3.176
4.541327714920044,2.980
4.549327850341797,2.941
4.5614142417907715,3.020
4.569463729858398,3.020
4.582463026046753,2.647
4.590463638305664,1.980
4.602535963058472,2.039
4.610653638839722,1.863
4.623656988143921,2.451
4.631168842315674,2.412
4.64267110824585,2.216
4.651899576187134,2.078
4.659985065460205,2.667
4.6719841957092285,2.490
4.6809844970703125,2.314
4.693088054656982,2.137
4.7011988162994385,2.353
4.713202714920044,2.431
4.721202611923218,2.000
4.733809471130371,1.902
4.741850852966309,2.490
4.749851226806641,2.471
4.762851238250732,2.431
4.770904064178467,2.471
4.782960414886475,2.843
4.790961742401123,3.176
4.803961277008057,2.235
4.812114953994751,1.804
4.82412052154541,2.549
4.832629203796387,2.314
4.840723037719727,2.118
4.85278582572937,2.725
4.860834360122681,2.941
4.872832536697388,2.569
4.880834102630615,2.686
4.893832683563232,2.392
4.9018330574035645,2.627
4.913836717605591,2.608
4.921837091445923,2.314
4.934346437454224,2.373
4.942398548126221,2.451
4.9554924964904785,2.549
4.963493585586548,2.647
4.971547603607178,2.392
4.98359227180481,2.373
4.991591930389404,2.549
5.004591941833496,2.431
5.0126612186431885,1.882
5.024716138839722,1.961
5.033025741577148,1.824
5.041030406951904,1.824
5.053087949752808,2.196
5.0612633228302,2.255
5.073771953582764,2.176
5.0823633670806885,2.412
5.094494581222534,2.431
5.102546691894531,2.569
5.114550828933716,2.510
5.122551441192627,2.333
5.135690450668335,2.333
5.143690586090088,2.941
5.1556901931762695,2.588
5.163690567016602,2.490
5.171690225601196,2.392
5.184768915176392,2.451
5.192829847335815,2.216
5.204831838607788,2.392
5.212830543518066,2.647
5.225833892822266,2.745
5.233460426330566,2.549
5.2455055713653564,2.196
5.2535693645477295,1.902
5.262628555297852,2.353
5.27462911605835,2.314
5.282687425613403,2.333
5.294807195663452,2.235
5.302807807922363,2.490
5.3154966831207275,2.490
5.323546409606934,2.588
5.335563659667969,2.137
5.344142198562622,2.373
5.35214638710022,2.804
5.36414647102356,2.373
5.373147249221802,2.255
5.385312795639038,2.490
5.39342737197876,1.980
5.4059412479400635,1.961
5.413505554199219,2.137
5.425654172897339,2.451
5.434208631515503,2.510
5.446208715438843,2.569
5.455208778381348,2.549
5.467334032058716,2.510
5.475388765335083,2.176
5.487390041351318,2.490
5.495388507843018,2.569
5.508462429046631,2.471
5.516537666320801,2.353
5.524534702301025,2.882
5.537143707275391,3.000
5.5451905727386475,2.706
5.557632207870483,2.235
5.56563663482666,1.941
5.578110933303833,1.765
5.586156129837036,2.078
5.5985400676727295,2.294
5.6066131591796875,1.980
5.618740797042847,1.882
5.626741647720337,2.627
5.639386177062988,2.647
