Время (с),A0 (В)
5.002121448516846,2.804
5.010166883468628,2.490
5.0231664180755615,2.784
5.03116512298584,2.314
5.043263673782349,2.608
5.051356792449951,2.412
5.063361883163452,2.745
5.072431802749634,2.549
5.084477663040161,3.059
5.0925233364105225,2.549
5.104523420333862,2.902
5.112523317337036,2.392
5.125523328781128,2.745
5.133570671081543,2.078
5.14161491394043,2.569
5.153620481491089,2.353
5.161620616912842,2.765
5.174131155014038,2.333
5.182194709777832,2.941
5.195194244384766,2.765
5.2032482624053955,3.333
5.211296796798706,2.549
5.223297357559204,2.686
5.231296062469482,2.275
5.244349002838135,2.902
5.252349376678467,2.549
5.264349460601807,2.980
5.272856950759888,2.431
5.284856557846069,2.725
5.292912721633911,2.353
5.300912618637085,2.922
5.313913583755493,2.588
5.321969747543335,2.882
5.33401346206665,2.294
5.342013597488403,2.471
5.355016469955444,2.118
5.363022089004517,2.647
5.3755271434783936,2.353
5.383580446243286,2.824
5.3914711475372314,2.314
5.403473138809204,2.706
5.411471605300903,2.471
5.42452073097229,2.922
5.432567834854126,2.451
5.444566488265991,2.863
5.452571153640747,2.490
5.4656760692596436,2.843
5.473265886306763,2.353
5.485264539718628,2.706
5.494381427764893,2.196
5.50598669052124,2.882
5.5140345096588135,2.765
5.523045539855957,3.373
5.535093784332275,2.882
5.543166875839233,2.980
5.555159568786621,2.529
5.5631608963012695,3.000
5.575671195983887,2.569
5.5837178230285645,2.882
5.5967652797698975,2.235
5.604763507843018,2.765
5.616765260696411,2.412
5.624863862991333,2.706
5.636977195739746,2.627
5.645975112915039,3.000
5.653978109359741,1.863
5.666038274765015,2.333
5.674596071243286,2.176
5.686683177947998,2.863
5.694681644439697,2.353
5.7066872119903564,2.725
5.714689016342163,2.314
5.72320032119751,2.647
5.7353675365448,2.118
5.743428468704224,2.529
5.756491422653198,2.000
5.764554023742676,2.490
5.7760655879974365,2.353
5.785070896148682,2.922
5.797251224517822,2.353
5.8052897453308105,2.686
5.813291788101196,2.235
5.825289964675903,2.569
5.834290027618408,2.353
5.8463990688323975,2.784
5.854484558105469,2.000
5.866989374160767,2.176
5.874993801116943,1.863
5.887087106704712,2.510
5.895174026489258,2.451
5.908079624176025,3.176
5.91613245010376,2.902
5.9285523891448975,3.098
5.936557769775391,2.157
5.949036598205566,2.627
5.957045793533325,2.275
5.969043016433716,2.765
5.977043390274048,2.216
5.985043048858643,2.804
5.998100280761719,2.235
6.006100177764893,2.745
